"APOGEE_ID","cluster"
"2M13255091-4729215",8
"2M09120887-6455277",6
"2M18091466-2552275",2
"2M16421716+3631331",4
"2M13272788-4719587",1
"2M13263643-4736261",8
"2M18545774-3025574",6
"2M21293530+1214083",4
"2M13251141-4725088",4
"2M09114558-6450042",7
"2M13270315-4724068",7
"2M18360370-2350060",4
"2M13253926-4718333",3
"2M13274431-4725071",3
"2M13262962-4737014",8
"2M17394870-5340168",5
"2M13271677-4712584",4
"2M21301138+1208412",3
"2M00241580-7200415",2
"2M18362627-2351483",4
"2M17025121-2617230",6
"2M13261668-4735119",3
"2M17023723-2617063",7
"2M10160324-4615494",7
"2M13265278-4744205",7
"AP18102342-3146515",6
"2M00235616-7159384",2
"2M13272740-4718217",4
"2M16324415-1301347",1
"2M01025851-7049444",7
"2M13264269-4729195",8
"2M13262143-4731289",7
"2M18363186-2347268",3
"2M13262164-4730202",8
"2M12395094-2645177",4
"2M16234458-2638033",1
"2M18551416-3028548",6
"2M18354357-2406398",3
"2M15182438+0200073",6
"2M17405674-5337019",3
"2M13263081-4724520",4
"2M21301049+1210061",8
"2M05240823-2430510",6
"2M21332399-0055167",6
"2M16472350-0200285",5
"2M13254097-4726468",8
"2M10165921-4624110",7
"2M13261688-4726064",3
"2M00225899-7205356",2
"2M13264564-4722260",4
"2M13265920-4736352",3
"2M10173790-4620281",7
"2M13264297-4720358",3
"2M00525250-2636041",1
"2M16322086-1302131",1
"2M13131006+1806152",4
"2M15182808+0202119",6
"2M17143081-2927457",2
"2M15182581+0204552",7
"2M13421028+2824044",6
"2M13261090-4727532",8
"2M10183889-4619199",7
"2M19535769+1844567",2
"2M13251771-4723421",3
"2M13414721+2829488",7
"2M13275730-4736380",7
"2M13270759-4722539",3
"2M13262806-4735251",3
"2M16472598-0153142",1
"2M18362051-2356247",4
"2M00222568-7208221",2
"2M13273227-4727298",3
"2M00241462-7204018",2
"2M17403192-5341537",3
"2M17405506-5339285",4
"2M16232354-2633412",1
"2M15183401+0207158",6
"2M13252561-4731436",3
"2M13262845-4733184",4
"2M13260166-4724309",8
"2M00212605-7209404",2
"AP18015264-2749084",1
"2M19533837+1846025",2
"2M17342541-3902338",2
"2M19534615+1847261",2
"2M16473788-0149212",5
"2M19534969+1850489",2
"2M17143280-2927477",2
"2M13270355-4726389",3
"2M13241760-4722030",3
"2M13271608-4731209",5
"2M13262405-4725383",4
"2M13263443-4732013",8
"2M13261658-4720464",5
"2M18362870-2358556",4
"2M13261616-4730560",4
"2M17404401-5332573",4
"2M13254733-4729245",8
"2M13253481-4728008",5
"2M13254810-4742143",3
"2M10165173-4625225",6
"2M13252939-4718351",3
"2M17403776-5339572",5
"2M13253528-4731430",5
"2M09122633-6453225",7
"2M13265039-4727306",8
"2M13424547+2824452",6
"2M15182935+0203493",6
"2M16322432-1301348",1
"2M00224308-7200330",2
"2M00233801-7158308",2
"2M13250802-4725189",3
"2M00223059-7203211",2
"2M13261244-4728533",7
"2M05141956-4004055",6
"2M13262881-4725235",1
"2M13263730-4737272",3
"2M15182499+0203098",6
"2M13271729-4725266",4
"2M13263748-4713268",3
"2M13263034-4721014",8
"2M21295379+1210203",3
"2M00230950-7209006",2
"2M13271647-4715584",8
"2M17163748+4306155",8
"2M13271199-4729499",8
"2M13274459-4724319",8
"2M16233397-2631126",1
"2M13261830-4722283",3
"2M13270015-4722249",5
"2M13261963-4745337",5
"2M13263030-4724159",3
"2M13272889-4721393",8
"2M16232195-2630320",1
"2M13252825-4723232",5
"2M17023516-2619262",4
"2M17402690-5357470",3
"2M17022955-2614150",4
"2M00231612-7207481",2
"2M13253534-4731557",5
"2M00231284-7210190",2
"2M16570952-0407222",6
"2M13260009-4722382",3
"2M13263397-4719545",4
"2M00262512-7157064",2
"2M21295828+1208092",3
"2M00254689-7206494",2
"2M19105734-5958056",6
"2M13261418-4729539",1
"2M00253618-7202051",2
"2M09115611-6452375",7
