APOGEE_ID,C_FE,CI_FE,N_FE,O_FE,NA_FE,MG_FE,AL_FE,SI_FE,S_FE,K_FE,CA_FE,TI_FE,TIII_FE,V_FE,CR_FE,MN_FE,FE_H,CO_FE,NI_FE,split
2M16231475-2645281,1.1703857412189231,0.8894113843824302,-2.0097930703832367,0.6756218653752762,0.37095151391177356,0.7883451478125234,-0.44867291772045,0.11992275135543307,-0.7950758216128424,0.2423619833770216,0.4844988546618426,0.13160161602233827,0.04715763992298443,-0.8717968493873848,0.10179895001432719,-0.8242958018331576,1.0221088312644244,-0.1875981471535052,0.5169451508434322,Train
2M13261594-4736517,1.7733571507373382,1.2636127752419732,-1.4570199920609974,1.7761288159601605,1.0467143090112083,1.0035509814872174,-1.1674900329968074,-0.3849975175370183,0.31978782922724025,-0.011732468446023152,2.2903476249419223,0.009316709401832293,0.2596569350313504,-0.9224045630830641,0.5858246578877992,-0.8599042105483862,-1.1015667356840813,1.0858731207139318,0.0766831694024489,Train
2M19101237-6000379,-0.7777828320523429,-1.166289816967821,0.6011397999047006,-0.4686073795705842,0.0014096501291852813,-0.13419024287147363,0.12667879277833644,0.03502667917534513,0.19982605362890787,-0.7001112928853018,0.23873343760499136,-0.3852656882456409,-0.3921880172202799,-0.027480663199083488,-0.04200267708604912,-0.49721216191364537,-0.3389123044736378,-1.3324570794667094,0.26719012925160257,Train
2M13265070-4721066,0.29416503332783134,-0.2274039738885914,2.2244366787989485,0.2985995804963212,0.5456635375188096,1.0531119539786475,1.0478278220258301,0.6924712751539218,0.34848005590366105,0.7966554695551437,0.9384151748625015,1.7291732064263834,1.289003095957803,-0.42795030233507125,0.12912560470257678,-0.376653630015597,1.8774318083069075,0.4196903010756235,-0.2129059523574655,Train
2M00232481-7158287,-0.02897818853698913,-0.6430706160053913,0.8736798218491433,0.11354375163960805,0.41661895709506463,0.7693386862510233,0.2873145421004033,-0.41530170683014495,0.02727601791913959,0.6028062867899917,0.09163778389623642,1.1051311105745854,0.8525188839911209,-0.503861266107075,0.017182294062755597,0.4101286097245235,1.7981886501397322,0.7240724873061363,0.8863823059458646,Train
2M13255649-4722512,0.1907693717618265,0.6020582473829323,-2.327494112157009,1.115464061105811,-1.0233482110642462,1.256469243721744,-1.2261440166171231,0.6238415336392226,-0.23848012192762214,0.8397370965487269,-1.51312590364836,0.3592879689117999,0.062134632875083626,-0.0011541804599002731,-1.6549649978466068,0.8502929699302999,-1.0204496706344321,0.5358160112077461,0.8651439267177254,Train
2M21291235+1210498,0.23643734261650817,-0.47559523353755156,-0.09574993886077555,-1.9425112571145005,0.0014096501291852813,-2.427657255106269,1.1580873476471614,1.7167973268333945,-1.7291162454381257,-1.5647051013143762,0.6355095523236106,0.009316709401832293,0.05283235921495172,-0.6306380409393721,1.1147817923050758,0.01410301871306225,-1.9230053690982307,-0.11005653359761493,-2.014337266991174,Train
2M13271923-4725455,-0.5628898300252159,-0.8559869957634665,1.7169794253710309,-2.1950597246992065,-0.7251822014886956,-2.30303260841188,1.7490250394418314,-0.09733176971065421,-1.0580686979258709,1.5166937575123718,0.01817263272772579,-0.3933585792079313,0.004244797141384842,0.28649108858344857,0.46196199093619655,0.015033066851053671,-0.2531746471110361,-1.067970951095549,-0.4465269480112634,Train
2M13255010-4735149,0.18996540988246916,0.15913014275170465,0.12951303911217146,0.09300841015669267,0.0014096501291852813,0.8020578887999347,0.17587205363433595,-0.4336872139093,-3.653129917748687,-2.167849432385905,1.2426988725762245,0.009316709401832293,-1.5181286411701844,1.813747489874272,-0.009985730202031935,0.01410301871306225,-0.8058488276549913,2.2146381958786128,0.3738367351860921,Train
2M16565433-0405359,-0.6281905383071661,-1.080507381065134,0.5543595221622842,-0.46377008167034617,0.1129718195253881,-0.3798545326687743,1.0518957497577324,-0.22968888164712561,0.09407832750930105,0.3841432802961463,-0.09136250272940297,0.23896121600183648,0.4703061248234573,0.7360185145840843,-1.6080015713161888,0.9428737134844655,-0.0031492630656060187,-0.7734980398515231,0.45040484200721076,Train
